GENESIS-Tabelle: 12511-0004
Einbürgerungen von Ausländern: Deutschland, Jahre,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ländergruppierungen/Staatsangehörigkeit, Altersgruppen,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geschlecht, Familienstand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Einbürgerungsstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Einbürgerungen von Ausländern (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;;;unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15-Jährige;16-Jährige;17-Jährige;18-Jährige;19-Jährige;20-Jährige;21-Jährige;22-Jährige;23-Jährige;24-Jährige;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 bis unter 95 Jahre;95 Jahre und mehr;unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15-Jährige;16-Jährige;17-Jährige;18-Jährige;19-Jährige;20-Jährige;21-Jährige;22-Jährige;23-Jährige;24-Jährige;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 bis unter 95 Jahre;95 Jahre und mehr;unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15-Jährige;16-Jährige;17-Jährige;18-Jährige;19-Jährige;20-Jährige;21-Jährige;22-Jährige;23-Jährige;24-Jährige;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 bis unter 95 Jahre;95 Jahre und mehr
2000;Insgesamt;ledig;10945;12055;8467;1283;1309;1273;1224;1504;1659;1306;1083;1013;931;4382;2429;1711;800;265;153;69;52;18;17;7;2;1;-;1;9900;10686;7279;1093;1212;1232;1233;1682;2075;1539;1271;1036;875;2585;887;421;225;151;95;34;26;18;10;4;4;-;-;-;20845;22741;15746;2376;2521;2505;2457;3186;3734;2845;2354;2049;1806;6967;3316;2132;1025;416;248;103;78;36;27;11;6;1;-;1
2000;Insgesamt;verheiratet;-;-;-;-;7;2;15;18;58;75;162;198;333;5073;9160;9884;6287;3775;2809;1537;986;436;184;82;34;11;2;-;-;-;-;-;7;13;48;249;477;597;792;995;1210;7922;8468;7037;4821;3388;2204;846;471;167;118;37;17;1;1;1;-;-;-;-;14;15;63;267;535;672;954;1193;1543;12995;17628;16921;11108;7163;5013;2383;1457;603;302;119;51;12;3;1
2000;Insgesamt;verwitwet;-;-;-;-;-;-;-;-;-;-;-;1;1;4;8;27;30;34;26;19;28;26;19;29;6;4;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;16;32;67;91;117;126;72;79;61;56;65;21;7;4;1;-;-;-;-;-;-;-;-;-;-;-;2;1;20;40;94;121;151;152;91;107;87;75;94;27;11;5;1
2000;Insgesamt;geschieden;-;-;-;-;-;-;-;1;-;1;1;2;7;104;324;544;482;329;224;127;67;31;18;8;5;2;-;-;-;-;-;-;1;-;-;1;6;9;16;24;33;293;466;541;447;387;302;113;73;23;24;9;-;1;-;-;-;-;-;-;1;-;-;2;6;10;17;26;40;397;790;1085;929;716;526;240;140;54;42;17;5;3;-;-
2000;Insgesamt;Lebenspartnerschaft;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2000;Insgesamt;Lebenspartnerschaft aufgehoben;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2000;Insgesamt;Lebenspartner verstorben;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2000;Europa;ledig;7613;8800;5840;789;748;682;715;1100;1307;982;760;720;651;2821;1289;484;148;86;65;33;32;8;11;3;2;1;-;-;6851;7621;4888;669;700;645;709;1234;1663;1202;986;801;650;1934;539;212;79;83;45;18;16;10;7;3;3;-;-;-;14464;16421;10728;1458;1448;1327;1424;2334;2970;2184;1746;1521;1301;4755;1828;696;227;169;110;51;48;18;18;6;5;1;-;-
2000;Europa;verheiratet;-;-;-;-;2;-;10;14;48;62;135;162;259;3437;5509;5358;2905;1714;1590;906;592;250;83;37;15;3;1;-;-;-;-;-;6;5;32;215;415;514;638;806;940;5782;5743;4176;2573;1936;1468;542;319;95;67;20;13;1;1;-;-;-;-;-;8;5;42;229;463;576;773;968;1199;9219;11252;9534;5478;3650;3058;1448;911;345;150;57;28;4;2;-
